Path	Lines	Status
ArcRefTeam.AdaptiveObjectModel	1	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros	1	Not Started
ArcRefTeam.AdaptiveObjectModel.JobSummary	1	Not Started
ArcRefTeam.AdaptiveObjectModel.JobSummary.PrivateMacros	1	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.StartNavigateToPage	7	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.MakeAllFieldsRequired	8	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertPagePresentation	9	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.HideLastField	9	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertAdaptiveValue	9	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertSecurityByRole	10	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertSecurityByProductKey	10	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertSecurityByCountryNative	10	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertSecurityByCountryAndId	10	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.AssertDisabledById	10	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.AssertEnabledById	10	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.ModifyAllNativeLabels	10	Not Started
ArcRefTeam.AdaptiveObjectModel.NameAddrAddChg	10	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.GetAdaptiveClassId	11	Not Started
ArcRefTeam	12	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertAdaptiveClass	12	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertNativeWithNewLabel	13	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertAomField	14	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.BackupTables	14	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertNative	14	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.RestoreTables	18	Not Started
ArcRefTeam.AdaptiveObjectModel.SetUp	26	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary	29	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertAllAdaptiveValues	33	Not Started
ArcRefTeam.AdaptiveObjectModel.AomMacros.InsertAllAomTypes	53	Not Started
ArcRefTeam.AdaptiveObjectModel.JobSummary.WithEssKey	75	Not Started
ArcRefTeam.AdaptiveObjectModel.JobSummary.PrivateMacros.InsertAllToDb	173	Not Started
ArcRefTeam.AdaptiveObjectModel.NameAddrAddChg.TestB	202	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestN	205	Not Started
ArcRefTeam.AdaptiveObjectModel.JobSummary.WithMssKey	209	Not Started
ArcRefTeam.AdaptiveObjectModel.NameAddrAddChg.TestA	214	Not Started
ArcRefTeam.AdaptiveObjectModel.JobSummary.WithWorkflow	230	Not Started
ArcRefTeam.AdaptiveObjectModel.NameAddrAddChg.TestC	295	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestO	335	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestL	337	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestI	338	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestH	350	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestJ	356	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestB	367	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestM	370	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestG	387	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestC	392	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestD	393	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestK	404	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestE	461	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestA	466	Not Started
ArcRefTeam.AdaptiveObjectModel.JobAndSalary.TestF	500	Not Started
