Path	Lines	Status
GlobalHr.SuiteGuiTests.SuiteGlobalTests.SetupInternationalCompany	1	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteJobs.SaveNewJobUsaHouPayScaleN	1	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteJobs.CompetenciesPageAddMode	1	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.GlobalNewHireCurrency	3	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.HireTests.NewHire.UsTests.NewHireEarnGroupWaitingPeriod	9	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.HireTests.NewHire.UsTests.EmployeeNeedsActiveEarning	11	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteEarningsGroup.ValidateCannotDeleteAssignedGroup	12	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteCalcRules	13	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.GlobalNewHirePayRate	14	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteEarningsGroup.HappyPath	14	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.GlobalNewHireCurrencyBlank	15	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.HireTests.NewHire.UsTests.NewHirePayRateInputMax	16	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDedSortEmptyGrid	17	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDdctnBnftsGrpsPageSp	17	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDdctnBnftsGrpsPageFr	17	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDedChgDedGrpSysAdminUsa	19	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteEarningsGroup.CreateAddChangePage	19	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionChgDedGrpSysAdmCan	19	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionChgDedGroupMssUsa	20	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionChgDedGrpMssCan	20	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionAddDedMssCan	20	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionAddDedSysAdminCan	21	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.SuiteSuppressViaFlag.TestVarPayGrpReport	22	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionAddDedMssUsa	22	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.SuiteSuppressViaFlag.TestEmpVarPayReport	22	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.SuiteSuppressViaFlag.TestLocalSalDiffReport	22	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.SuiteHiddenDeductions.HiddenDeductionAddDedSysAdminUsa	22	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.TestStartPageUiEs	22	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.SuiteSuppressViaFlag.TestVarPayPlnReport	22	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.TestStartPageUi	23	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.TestStartPageUiFr	23	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsCalendar.TestCalendarPopup	23	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.SetupInternationalCompany.TestCodeIsCapitalized	25	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.EditPayRate	25	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.SuiteErrorMessages.TestMultiHireEe	26	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.DeductionsTab.DedPlanStartsBlank	28	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteMisc.TestCodeFilterLocalizeWithSpCode	28	Not Started
GlobalHr.SuiteGuiTests.SuiteOtherTests.TestAllCountriesLocalization	29	Not Started
GlobalHr.SuiteGuiTests.SuiteMssTests.TestChngEarnLinkRespSmc	29	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.CanadaTransferTests.SuiteErrorMessages.TestNoAvailableComp	29	Not Started
GlobalHr.SuiteGuiTests.SuiteMssTests.TestChngDedLinkRespSmc	29	Not Started
GlobalHr.SuiteGuiTests.SuiteMssTests.TestManagerAccessToGlobalEmployeeBenefits	30	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitPlans.GlobalDeductionSetup	30	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.JobHistoryDescriptions	31	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterCriteria.TestCriteriaPreservedAfterPageReLoad	32	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterCriteria.TestRemoveRow	32	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteWebHtmlEditor.TestEnterKeyWorks	33	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.JobTests.VariablePayTabMssViewEdit	34	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteWindowManager.TestSessionAbandon	34	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.BenefitsTests.CurrentBenefitsFromGlobal	34	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteSalaryDiff.Tests07DuplicateGroups	35	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.AvailableSecurity.TestCodeFilteringNone	35	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.TemplateSecurity.TestCodeFilteringNone	35	Not Started
GlobalHr.SuiteGuiTests.SuiteGlobalTests.GlobalEditCurrency	35	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.TransferTests.SuiteErrorMessages.TestMultiHireEe	36	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsCalendar.TestLeapYear	36	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDedUniqueCo	37	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteSalaryDiff.Test08NoLocationAssigned	37	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.SuiteSuppressViaFlag.TestEmpCurRateReport	37	Not Started
GlobalHr.SuiteGuiTests.SuiteMssTests.TestEarnDedLinksShowServerError	38	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.SuiteSuppressViaFlag.TestCurConRateReport	38	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.SuitePayScales.ReHireSalRvwDate1.ScenarioSeven	38	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteDeductionBenefitGrps.TestDedQuaFr	38	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterCriteria.TestClearFilters	39	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteFilterCriteria.TestAddRow	40	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteMisc.TestFindByPriorCustomDaysMonths	40	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.AvailableSecurity.TestRolesBase	40	Not Started
GlobalHr.SuiteGuiTests.SuiteReports.TemplateSecurity.TestRolesBase	40	Not Started
GlobalHr.SuiteGuiTests.SuiteBusRules.SuiteUserDefinedFields.TestLanguageEs	41	Not Started
GlobalHr.SuiteGuiTests.SuiteFramework.SuiteUsGridView.SuiteInbox.PagingWorkflow	42	Not Started
GlobalHr.SuiteGuiTests.SuiteHrTests.SuitePayScales.ReHireSalRvwDate1.ScenarioOne	42	Not Started
